id,x0,x1,x2,fitness8,fitness6.5,fitness5,fitness6,fitness4,fitness5.5,fitness8.5,fitness9,fitness9.5,fitness10,fitness7.5,fitness7,fitness4.5,fitness3.5,fitness2.5,fitness2,fitness0.5,fitness1,fitness1.5
28510,8.92071,8.86018,7.68778,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28705,9.09494,8.33938,7.11223,0.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28858,7.06107,7.61089,8.03653,0.862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29117,8.82614,8.35373,7.36452,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29381,8.6666,7.58572,8.38947,NA,NA,NA,NA,NA,NA,NA,NA,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29576,7.6531,7.60358,7.81056,NA,NA,NA,NA,NA,NA,NA,NA,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29712,8.49421,8.08756,6.33461,0.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29936,9.48516,7.85942,6.48252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279,NA,NA,NA,NA,NA,NA,NA
30113,9.60509,8.37905,5.63949,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30326,8.84739,7.27231,6.50996,NA,NA,NA,NA,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30474,7.28356,8.42866,6.69905,NA,NA,NA,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30665,8.01869,8.60138,7.72569,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30891,8.22283,7.89727,7.9782,NA,0.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31154,7.56179,7.9928,8.00112,NA,0.636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31316,8.94662,7.61197,8.09367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.547,NA,NA,NA,NA,NA,NA
31529,10.1516,7.79347,7.06272,NA,NA,NA,NA,0.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31675,8.49102,8.81426,8.02214,NA,NA,0.372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31819,8.1524,7.12354,9.02414,NA,NA,0.346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32086,7.04306,6.47629,8.50845,NA,NA,NA,0.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32339,5.68678,7.73913,8.02284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA
32469,3.95611,7.5469,8.43157,NA,NA,NA,NA,NA,NA,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32720,5.04815,7.56821,7.5187,NA,NA,NA,NA,NA,NA,0.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32847,4.62483,6.67369,7.55848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA
33144,4.9827,6.46586,6.85249,NA,NA,NA,NA,NA,NA,NA,-0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33373,4.04397,7.11711,7.50939,NA,NA,NA,NA,NA,NA,NA,NA,0.493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33426,5.80426,7.0769,7.09955,NA,NA,NA,NA,NA,NA,NA,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33761,7.71371,6.7265,9.07681,NA,NA,NA,NA,NA,NA,NA,0.353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33821,8.05806,7.35835,10.1266,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34182,7.85001,6.85247,10.1535,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34284,8.20854,7.3446,9.82659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA
34497,8.9429,7.63968,8.81173,NA,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
