id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3,fitness2.5
75990,5,5,-0.957438,NA,9379.684,NA,NA,NA,NA
76335,4.31044,5,0.0329896,NA,1840.495,NA,NA,NA,NA
76405,4.6769,5,-0.896423,NA,9968.412,NA,NA,NA,NA
76738,4.91019,5,-0.949239,NA,12536.446,NA,NA,NA,NA
76757,4.66217,5,-0.871374,NA,9646.284,NA,NA,NA,NA
77037,4.98973,5,-0.888401,7962.261,NA,NA,NA,NA,NA
77246,5,5,-0.791175,NA,13045.101,NA,NA,NA,NA
77449,5,4.92777,-1.87731,NA,4731.223,NA,NA,NA,NA
77715,5,5,-3.06371,NA,3035.734,NA,NA,NA,NA
77915,5,5,-2.89643,NA,2574.76,NA,NA,NA,NA
78124,3.76548,4.17937,-1.44226,NA,2668.791,NA,NA,NA,NA
