id,x0,x1,x2,fitness7.5,fitness8,fitness8.5,fitness7,fitness6.5,fitness9,fitness6
41028,8.52443,8.22595,7.38857,NA,NA,NA,0.738,NA,NA,NA
41240,7.50666,7.67324,7.04419,0.894,NA,NA,NA,NA,NA,NA
41528,8.69836,7.63451,7.83989,0.833,NA,NA,NA,NA,NA,NA
41612,8.15632,7.41147,7.6012,NA,NA,0.854,NA,NA,NA,NA
41883,8.04794,7.82037,7.67042,NA,NA,NA,0.927,NA,NA,NA
42013,7.66407,7.69466,7.59593,NA,NA,0.917,NA,NA,NA,NA
42366,9.02096,8.10749,8.19408,NA,NA,0.605,NA,NA,NA,NA
42533,7.90402,7.80464,7.39656,NA,NA,NA,NA,NA,0.714,NA
42732,8.2829,7.92257,7.13059,NA,0.836,NA,NA,NA,NA,NA
42985,7.54572,7.5988,7.27594,NA,0.937,NA,NA,NA,NA,NA
43142,7.67035,8.69718,8.42824,0.721,NA,NA,NA,NA,NA,NA
43253,8.14535,7.71937,7.82274,NA,NA,NA,0.877,NA,NA,NA
43407,7.89005,7.32236,7.39668,NA,0.903,NA,NA,NA,NA,NA
43610,7.62502,7.58064,7.44501,NA,0.979,NA,NA,NA,NA,NA
43901,7.04517,7.57078,7.71008,0.896,NA,NA,NA,NA,NA,NA
44199,7.8381,7.60979,8.29238,0.93,NA,NA,NA,NA,NA,NA
44308,7.59722,7.81863,8.41061,NA,0.905,NA,NA,NA,NA,NA
44422,7.58547,9.2884,7.66648,NA,0.667,NA,NA,NA,NA,NA
44670,8.47711,7.76547,8.01911,0.856,NA,NA,NA,NA,NA,NA
44892,7.7792,8.26899,7.1088,NA,NA,NA,0.807,NA,NA,NA
45069,7.98107,8.05546,7.61678,0.952,NA,NA,NA,NA,NA,NA
45222,8.16017,7.93826,8.45155,NA,0.849,NA,NA,NA,NA,NA
45418,9.04824,7.92322,7.61834,0.687,NA,NA,NA,NA,NA,NA
45611,7.4011,7.18961,8.05845,0.872,NA,NA,NA,NA,NA,NA
45915,7.15068,7.95349,8.62828,NA,NA,NA,0.696,NA,NA,NA
46050,8.67731,8.47605,7.29008,0.698,NA,NA,NA,NA,NA,NA
46388,7.67422,7.99357,8.01598,0.95,NA,NA,NA,NA,NA,NA
46544,7.75795,7.91133,6.52329,0.717,NA,NA,NA,NA,NA,NA
46711,8.34649,8.20872,7.04191,0.76,NA,NA,NA,NA,NA,NA
46876,7.10681,8.18366,7.49385,NA,0.843,NA,NA,NA,NA,NA
