id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness6.5,fitness9,fitness8.5,fitness9.5,fitness10,fitness6
36606,7.52751,8.77136,7.19743,NA,NA,0.753,NA,NA,NA,NA,NA,NA
36803,6.68109,7.81404,7.10879,NA,0.706,NA,NA,NA,NA,NA,NA,NA
37053,7.70608,7.25165,9.18077,0.596,NA,NA,NA,NA,NA,NA,NA,NA
37311,7.78869,8.47546,8.39298,NA,NA,0.805,NA,NA,NA,NA,NA,NA
37421,8.5094,8.72497,7.78394,0.543,NA,NA,NA,NA,NA,NA,NA,NA
37643,8.08751,7.69591,7.55462,NA,0.942,NA,NA,NA,NA,NA,NA,NA
37842,7.60955,8.32828,6.85506,NA,NA,0.724,NA,NA,NA,NA,NA,NA
38039,8.18188,8.34217,6.84116,NA,NA,0.697,NA,NA,NA,NA,NA,NA
38322,7.6985,7.4529,7.5202,NA,NA,0.927,NA,NA,NA,NA,NA,NA
38594,8.26563,7.53201,7.67298,NA,NA,0.891,NA,NA,NA,NA,NA,NA
38624,8.37646,8.27085,7.27784,0.695,NA,NA,NA,NA,NA,NA,NA,NA
38875,7.20151,7.7206,8.14167,NA,NA,NA,0.701,NA,NA,NA,NA,NA
39097,7.7381,8.96814,8.65922,NA,0.608,NA,NA,NA,NA,NA,NA,NA
39379,7.30355,8.89,8.3208,NA,NA,NA,NA,NA,0.549,NA,NA,NA
39438,8.701,7.91935,8.23208,NA,NA,NA,NA,NA,0.71,NA,NA,NA
39607,7.57434,7.54123,8.05966,NA,NA,NA,NA,NA,0.904,NA,NA,NA
39940,7.8555,7.42106,8.49818,NA,NA,0.863,NA,NA,NA,NA,NA,NA
40163,7.94557,8.19282,7.07971,NA,NA,0.853,NA,NA,NA,NA,NA,NA
40397,7.53723,8.29022,7.98221,NA,0.901,NA,NA,NA,NA,NA,NA,NA
40518,8.20423,7.41842,7.30094,NA,NA,NA,NA,NA,0.798,NA,NA,NA
40734,6.29603,9.18805,7.06343,NA,0.249,NA,NA,NA,NA,NA,NA,NA
40973,8.37487,7.26645,8.11764,0.755,NA,NA,NA,NA,NA,NA,NA,NA
41004,8.03613,7.85241,7.37284,NA,0.917,NA,NA,NA,NA,NA,NA,NA
41368,7.08881,7.56846,7.24145,NA,NA,0.836,NA,NA,NA,NA,NA,NA
41514,7.50898,7.28144,7.59384,0.777,NA,NA,NA,NA,NA,NA,NA,NA
41798,8.03767,7.6237,8.36744,0.813,NA,NA,NA,NA,NA,NA,NA,NA
41948,7.2937,7.67783,8.11143,NA,0.911,NA,NA,NA,NA,NA,NA,NA
42034,6.76941,7.38048,7.46133,NA,0.748,NA,NA,NA,NA,NA,NA,NA
42299,7.8298,7.87811,7.54241,NA,NA,0.957,NA,NA,NA,NA,NA,NA
42579,8.8331,7.67174,7.26127,NA,NA,0.713,NA,NA,NA,NA,NA,NA
42684,7.99045,6.86572,7.51352,NA,NA,NA,NA,NA,0.656,NA,NA,NA
42821,7.99334,7.91978,8.68608,0.723,NA,NA,NA,NA,NA,NA,NA,NA
43176,8.29952,8.52315,8.62695,NA,0.639,NA,NA,NA,NA,NA,NA,NA
43398,9.20616,7.78908,7.81856,NA,0.693,NA,NA,NA,NA,NA,NA,NA
43588,8.72244,8.61632,7.89845,NA,NA,0.649,NA,NA,NA,NA,NA,NA
43782,8.42511,8.42486,7.52171,NA,NA,0.799,NA,NA,NA,NA,NA,NA
43995,8.81993,8.29104,6.95193,NA,NA,0.611,NA,NA,NA,NA,NA,NA
44142,7.66406,7.63498,7.86094,NA,0.96,NA,NA,NA,NA,NA,NA,NA
44250,7.3492,6.45926,7.42784,NA,NA,0.648,NA,NA,NA,NA,NA,NA
44402,7.28587,7.02782,6.95972,NA,0.723,NA,NA,NA,NA,NA,NA,NA
44706,7.33917,7.84962,7.76693,NA,NA,NA,NA,NA,0.861,NA,NA,NA
44871,7.17774,7.10145,7.75578,NA,NA,NA,NA,NA,0.801,NA,NA,NA
45022,7.76978,7.37651,8.67501,NA,NA,0.782,NA,NA,NA,NA,NA,NA
45371,7.4934,8.34306,8.43012,NA,NA,0.815,NA,NA,NA,NA,NA,NA
45580,7.78592,9.30153,7.01236,NA,0.563,NA,NA,NA,NA,NA,NA,NA
45730,7.74713,7.90163,7.23544,NA,0.94,NA,NA,NA,NA,NA,NA,NA
45918,8.4372,8.15911,8.79207,NA,0.674,NA,NA,NA,NA,NA,NA,NA
46153,8.23339,7.28672,8.00673,NA,0.889,NA,NA,NA,NA,NA,NA,NA
46363,8.21926,7.11463,8.01853,NA,0.848,NA,NA,NA,NA,NA,NA,NA
46440,7.80693,7.75727,8.44965,0.844,NA,NA,NA,NA,NA,NA,NA,NA
46792,8.27982,8.07057,8.66182,NA,NA,NA,0.505,NA,NA,NA,NA,NA
46822,8.03554,7.31458,6.92962,NA,NA,NA,NA,NA,0.741,NA,NA,NA
47186,7.74127,7.95558,7.45067,NA,NA,0.965,NA,NA,NA,NA,NA,NA
47215,8.43407,8.32724,8.10104,NA,0.791,NA,NA,NA,NA,NA,NA,NA
47575,8.49106,7.50656,7.55673,0.806,NA,NA,NA,NA,NA,NA,NA,NA
47718,7.51728,8.69729,8.739,0.487,NA,NA,NA,NA,NA,NA,NA,NA
47947,6.77834,8.84668,8.00617,NA,NA,0.597,NA,NA,NA,NA,NA,NA
48195,7.25758,8.30898,7.74215,NA,NA,NA,NA,NA,0.8,NA,NA,NA
48302,7.69657,8.14785,6.68555,0.61,NA,NA,NA,NA,NA,NA,NA,NA
48446,7.3671,8.71044,7.67686,0.669,NA,NA,NA,NA,NA,NA,NA,NA
48630,7.22375,8.7376,7.3247,0.625,NA,NA,NA,NA,NA,NA,NA,NA
48949,8.15874,6.88868,8.43064,0.586,NA,NA,NA,NA,NA,NA,NA,NA
49127,7.84927,7.40751,7.66892,0.882,NA,NA,NA,NA,NA,NA,NA,NA
49223,7.62356,8.2259,7.83807,NA,0.943,NA,NA,NA,NA,NA,NA,NA
49430,8.02829,8.2957,7.55832,NA,0.898,NA,NA,NA,NA,NA,NA,NA
49727,8.31492,7.97461,7.55744,0.859,NA,NA,NA,NA,NA,NA,NA,NA
49805,8.53108,8.55785,7.04157,NA,0.661,NA,NA,NA,NA,NA,NA,NA
50177,8.05108,7.83092,6.25272,NA,NA,0.598,NA,NA,NA,NA,NA,NA
50317,7.5126,8.55833,6.73391,NA,0.661,NA,NA,NA,NA,NA,NA,NA
