id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
42290,7.69432,7.92133,8.34455,0.866,NA,NA,NA,NA,NA,NA,NA,NA
42528,8.74338,7.72211,8.07165,NA,0.798,NA,NA,NA,NA,NA,NA,NA
42773,7.69789,7.60538,8.4127,NA,0.897,NA,NA,NA,NA,NA,NA,NA
42945,7.80393,8.3468,8.51573,NA,0.771,NA,NA,NA,NA,NA,NA,NA
43043,7.86905,8.23495,7.27877,NA,NA,NA,NA,0.818,NA,NA,NA,NA
43394,7.66784,7.96853,8.15422,NA,0.947,NA,NA,NA,NA,NA,NA,NA
43505,7.92309,7.09826,8.40985,0.812,NA,NA,NA,NA,NA,NA,NA,NA
43752,7.33565,7.34111,8.13196,NA,NA,NA,NA,0.81,NA,NA,NA,NA
43965,8.13633,7.64289,7.11908,0.887,NA,NA,NA,NA,NA,NA,NA,NA
44182,9.12882,7.99605,7.63837,0.678,NA,NA,NA,NA,NA,NA,NA,NA
44314,8.80883,8.26361,8.38129,0.647,NA,NA,NA,NA,NA,NA,NA,NA
44437,8.10778,8.03823,7.81963,NA,NA,NA,NA,NA,0.853,NA,NA,NA
44639,8.36665,8.05116,8.3713,NA,0.816,NA,NA,NA,NA,NA,NA,NA
44848,7.85651,8.15415,8.75467,NA,NA,NA,NA,NA,0.712,NA,NA,NA
45153,7.77119,8.68935,7.92838,NA,0.822,NA,NA,NA,NA,NA,NA,NA
45273,7.80431,8.37506,7.81441,NA,0.903,NA,NA,NA,NA,NA,NA,NA
45600,7.58415,7.22927,7.90848,NA,0.933,NA,NA,NA,NA,NA,NA,NA
45618,8.27072,7.62758,6.97661,0.769,NA,NA,NA,NA,NA,NA,NA,NA
45827,7.3947,8.72227,7.80618,NA,NA,NA,NA,NA,0.633,NA,NA,NA
46146,7.12228,8.04934,6.88007,0.757,NA,NA,NA,NA,NA,NA,NA,NA
46334,7.98417,7.09471,7.06768,0.794,NA,NA,NA,NA,NA,NA,NA,NA
46570,8.14734,7.11712,7.84803,0.873,NA,NA,NA,NA,NA,NA,NA,NA
46776,6.91198,6.87493,7.72175,NA,0.719,NA,NA,NA,NA,NA,NA,NA
46954,7.55321,7.50809,8.11348,NA,NA,0.68,NA,NA,NA,NA,NA,NA
47119,7.13733,7.37435,7.47951,0.845,NA,NA,NA,NA,NA,NA,NA,NA
47235,6.54279,7.21626,7.98323,NA,0.666,NA,NA,NA,NA,NA,NA,NA
47572,6.70914,7.70449,7.55115,NA,NA,NA,NA,NA,0.698,NA,NA,NA
47706,7.57957,7.13446,7.22838,NA,0.876,NA,NA,NA,NA,NA,NA,NA
47988,7.39074,7.76295,7.9031,NA,NA,NA,NA,NA,0.829,NA,NA,NA
48093,7.36172,7.87757,9.21929,0.636,NA,NA,NA,NA,NA,NA,NA,NA
48246,6.88199,8.12954,7.92963,0.767,NA,NA,NA,NA,NA,NA,NA,NA
48429,7.36149,7.6123,7.95906,0.948,NA,NA,NA,NA,NA,NA,NA,NA
48764,8.09809,7.75104,7.90481,NA,NA,NA,NA,NA,0.896,NA,NA,NA
48924,7.66252,7.71246,8.33199,NA,0.912,NA,NA,NA,NA,NA,NA,NA
49010,8.46953,6.97497,7.39415,NA,0.761,NA,NA,NA,NA,NA,NA,NA
49292,7.55992,7.79765,7.66783,0.951,NA,NA,NA,NA,NA,NA,NA,NA
49520,8.06019,8.45953,7.69539,NA,0.839,NA,NA,NA,NA,NA,NA,NA
49793,7.6451,8.66336,8.05364,NA,0.818,NA,NA,NA,NA,NA,NA,NA
49804,7.52022,9.14217,6.47965,0.406,NA,NA,NA,NA,NA,NA,NA,NA
50160,6.97314,8.2591,7.17192,0.762,NA,NA,NA,NA,NA,NA,NA,NA
50236,8.49465,7.89201,7.78018,0.877,NA,NA,NA,NA,NA,NA,NA,NA
50560,8.69981,8.03352,8.28693,NA,0.745,NA,NA,NA,NA,NA,NA,NA
50722,8.28232,7.22942,7.87303,NA,NA,NA,NA,NA,0.787,NA,NA,NA
50809,8.33658,8.10792,7.10627,NA,NA,NA,NA,NA,0.754,NA,NA,NA
51019,8.29071,8.21967,6.4012,0.561,NA,NA,NA,NA,NA,NA,NA,NA
51204,8.40021,7.86039,7.52081,NA,0.9,NA,NA,NA,NA,NA,NA,NA
51587,8.28644,7.67004,6.97201,NA,NA,NA,NA,0.72,NA,NA,NA,NA
51699,7.61728,7.81866,6.91697,NA,0.831,NA,NA,NA,NA,NA,NA,NA
51900,6.76868,6.98058,7.09303,NA,0.619,NA,NA,NA,NA,NA,NA,NA
52169,8.19017,7.34684,6.7599,NA,NA,NA,NA,NA,0.591,NA,NA,NA
52311,7.87293,7.26207,8.06631,0.911,NA,NA,NA,NA,NA,NA,NA,NA
