id,x0,x1,x2,fitness4.5,fitness5,fitness4,fitness3.5,fitness3
50685,-1.00599,5,5,NA,6973.96,NA,NA,NA
50991,-0.745923,4.59367,5,NA,5421.842,NA,NA,NA
51094,-0.762629,5,5,NA,12840.386,NA,NA,NA
51376,-0.276662,5,5,NA,NA,4081.305,NA,NA
51502,-0.812846,4.98683,5,NA,13784.841,NA,NA,NA
51695,-0.863128,4.78341,5,NA,20616.533,NA,NA,NA
51896,-0.712911,4.70654,5,NA,11772.239,NA,NA,NA
52008,-0.77653,4.81315,5,NA,16863.899,NA,NA,NA
52384,-1.93693,5,5,NA,5034.953,NA,NA,NA
52470,-1.9137,5,4.91415,NA,6880.081,NA,NA,NA
52625,-1.50891,5,5,NA,NA,1995.32,NA,NA
52894,-1.31648,5,4.86765,7311.468,NA,NA,NA,NA
53111,-0.93297,5,4.68335,NA,9216.632,NA,NA,NA
53277,-0.899013,5,4.84748,NA,15397.367,NA,NA,NA
53533,-0.722547,5,5,NA,15246.533,NA,NA,NA
53725,-0.58381,5,4.87236,NA,11801.314,NA,NA,NA
53883,-0.751332,5,5,NA,15550.807,NA,NA,NA
54122,0.486085,5,5,NA,1838.514,NA,NA,NA
54203,-0.747719,4.72596,5,NA,13467.589,NA,NA,NA
54438,-1.01142,4.78325,5,NA,9592.899,NA,NA,NA
54764,-0.220509,5,5,3127.408,NA,NA,NA,NA
54961,-1.03339,5,4.9215,NA,6882.002,NA,NA,NA
55036,-0.982659,4.83812,5,NA,10860.183,NA,NA,NA
55257,-1.0061,5,5,NA,9038.255,NA,NA,NA
55554,-0.902888,5,5,NA,11449.097,NA,NA,NA
55793,-2.13195,5,4.8116,NA,5373.254,NA,NA,NA
56000,-2.97657,5,4.98224,NA,3455.254,NA,NA,NA
56046,-2.9696,5,5,NA,3184.145,NA,NA,NA
56230,-1.94559,5,5,NA,5155.541,NA,NA,NA
56585,-1.35349,4.40462,4.70071,5091.458,NA,NA,NA,NA
56712,-0.801836,5,5,NA,15464.44,NA,NA,NA
