id,x0,x1,x2,fitness4.5,fitness4,fitness5,fitness3.5,fitness2.5,fitness3,fitness2,fitness0.5,fitness-1,fitness-1.5,fitness-2,fitness-3,fitness-2.5,fitness-0.5,fitness0,fitness1.5,fitness1,fitness-3.5,fitness-4,fitness-4.5,fitness-5
22032,-0.854692,4.80284,-3.48611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,815.359,NA,NA,NA,NA
22294,-1.69369,4.66996,-4.15433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.447,NA,NA,NA,NA
22416,-1.26909,4.71772,-3.8808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,782.993,NA,NA,NA,NA,NA,NA,NA
22714,0.181474,4.44904,-2.64871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.757,NA,NA,NA,NA,NA,NA,NA
22896,1.318,4.39934,-2.92836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.868,NA,NA,NA,NA,NA,NA
23138,2.46422,4.03857,-3.1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23260,2.21742,3.239,-4.80419,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23493,1.62094,2.54603,-3.03775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23768,0.789799,3.27696,-3.40278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.59,NA,NA,NA,NA,NA,NA,NA,NA
23949,1.55816,2.13313,-3.68986,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24072,0.83741,1.37304,-4.45829,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24251,-0.99,1.85468,-2.72768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,NA,NA,NA,NA,NA,NA,NA,NA
24543,-1.71871,2.49873,-2.0026,NA,NA,NA,NA,NA,NA,NA,NA,217.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24791,-1.08388,2.22024,-0.709515,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130.207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24818,-1.00512,1.93928,-0.590773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25042,-1.01824,2.61577,0.0250246,NA,NA,NA,NA,NA,NA,NA,NA,NA,347.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25222,-0.562851,2.49221,0.344521,NA,NA,NA,NA,NA,NA,NA,NA,NA,311.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25541,-0.74169,3.3552,-1.83338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,997.552,NA,NA,NA,NA,NA,NA
25670,-1.53296,4.63228,-3.03121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.759,NA,NA,NA,NA,NA,NA
25956,-2.62259,4.80742,-0.813181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4067.397,NA,NA,NA,NA,NA,NA
26001,-2.22135,4.1998,-1.57967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.743,NA,NA,NA,NA,NA,NA,NA,NA,NA
26275,-1.45236,4.82824,-2.71906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26524,-2.29456,3.04237,-2.07203,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26613,-2.87688,3.69584,-2.12158,NA,NA,NA,NA,NA,NA,NA,NA,525.699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26820,-1.86796,4.56072,-2.21453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285.137,NA,NA,NA,NA,NA,NA,NA
27197,-2.11096,3.7081,-0.445115,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27244,-2.06158,4.68875,-0.315599,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27543,-1.93958,4.8618,-0.983314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1791.333,NA,NA,NA,NA,NA,NA
27647,-0.777893,4.40388,-3.47609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.99,NA,NA,NA,NA,NA,NA,NA
27964,-1.42754,4.14042,-3.79372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832.273,NA,NA,NA,NA,NA,NA,NA
28123,-1.42873,3.14891,-3.36967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.635,NA,NA,NA,NA,NA,NA
28340,-0.308322,3.78575,-3.46603,NA,NA,NA,NA,NA,NA,NA,128.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28485,-0.94062,4.92777,-4.75515,NA,NA,NA,NA,NA,NA,NA,361.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28646,-0.397668,3.83549,-4.4114,NA,NA,NA,NA,NA,NA,NA,98.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28989,-0.424007,4.08196,-4.44559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.332,NA,NA,NA,NA,NA,NA
29026,-1.68976,4.68767,-3.61041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,799.351,NA,NA,NA,NA,NA,NA,NA
29232,-0.902097,3.70421,-4.02723,NA,NA,NA,NA,NA,NA,NA,NA,100.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29464,-0.244614,4.33064,-3.10704,NA,NA,NA,NA,NA,NA,NA,NA,2003.832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29625,0.64403,3.87823,-2.82808,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29890,1.04559,3.24173,-2.19517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30004,0.277096,4.75791,-2.5793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.515,NA,NA,NA,NA,NA,NA,NA,NA
30256,-0.884226,4.00936,-3.49732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.666,NA,NA,NA,NA,NA,NA,NA,NA,NA
30413,-1.32837,3.14097,-3.30675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.603,NA,NA,NA,NA,NA,NA,NA,NA
30687,-1.32504,3.65603,-1.27974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30840,-0.775275,4.05018,-1.43831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519.443,NA,NA
31050,-0.837548,4.3191,-0.868432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1669.066,NA,NA,NA,NA,NA,NA,NA,NA
31230,-2.33273,4.68131,0.859218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31472,-1.52793,4.5589,-0.0713558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.931,NA,NA,NA,NA,NA,NA,NA,NA
