id,x0,x1,x2,fitness8,fitness7,fitness8.5,fitness6.5,fitness7.5,fitness9,fitness9.5
52312,7.48383,8.10017,7.95129,NA,NA,0.873,NA,NA,NA,NA
52441,7.44323,7.99689,8.28729,NA,0.852,NA,NA,NA,NA,NA
52604,7.3537,8.13514,7.48171,NA,0.784,NA,NA,NA,NA,NA
52888,7.65254,8.48778,7.96792,NA,0.786,NA,NA,NA,NA,NA
53161,7.39658,7.04123,8.241,NA,NA,NA,NA,0.828,NA,NA
53351,8.09754,7.84179,7.48638,0.951,NA,NA,NA,NA,NA,NA
53521,7.5832,8.64142,7.6083,NA,0.697,NA,NA,NA,NA,NA
53758,7.76379,8.86859,7.20285,0.695,NA,NA,NA,NA,NA,NA
53866,7.56196,8.12724,8.03185,NA,0.815,NA,NA,NA,NA,NA
54192,7.46508,7.25551,7.84502,0.934,NA,NA,NA,NA,NA,NA
54267,7.11689,7.8988,7.64015,NA,NA,NA,NA,0.911,NA,NA
54435,7.7148,7.49112,7.18054,0.901,NA,NA,NA,NA,NA,NA
54726,8.21341,7.96904,7.84845,NA,NA,NA,NA,0.932,NA,NA
54970,7.99459,8.18477,7.57295,NA,0.858,NA,NA,NA,NA,NA
55034,7.75996,7.50985,7.77357,NA,0.944,NA,NA,NA,NA,NA
55310,6.97565,7.49612,7.9653,NA,NA,NA,NA,0.857,NA,NA
55456,7.5282,7.92282,6.82567,NA,NA,NA,NA,0.819,NA,NA
55641,7.35374,8.13233,7.25451,0.89,NA,NA,NA,NA,NA,NA
55891,8.79649,7.02838,7.31035,0.646,NA,NA,NA,NA,NA,NA
56066,7.69946,7.03994,6.73625,NA,NA,NA,NA,0.71,NA,NA
56349,7.48455,7.98451,7.84671,0.92,NA,NA,NA,NA,NA,NA
56531,7.57791,7.85493,7.7921,NA,NA,NA,NA,0.99,NA,NA
56660,7.60289,8.07791,8.18105,NA,NA,NA,NA,0.922,NA,NA
56935,7.59441,7.425,8.20832,NA,NA,NA,0.632,NA,NA,NA
57093,8.09433,7.5591,8.15691,NA,0.817,NA,NA,NA,NA,NA
57262,7.5456,6.63101,7.45849,NA,NA,NA,NA,0.725,NA,NA
57490,8.43531,7.3232,7.58621,NA,NA,NA,NA,0.829,NA,NA
57676,7.6409,8.20852,7.45884,NA,0.868,NA,NA,NA,NA,NA
58000,7.28233,7.5505,7.13198,NA,NA,NA,NA,0.884,NA,NA
58146,7.61904,7.6905,6.81461,0.81,NA,NA,NA,NA,NA,NA
58316,7.14335,8.41916,7.52909,NA,NA,0.749,NA,NA,NA,NA
58489,7.4133,7.50571,7.02235,0.821,NA,NA,NA,NA,NA,NA
58685,7.22575,7.97053,8.49737,0.82,NA,NA,NA,NA,NA,NA
58817,7.66298,7.34853,7.7715,NA,NA,0.86,NA,NA,NA,NA
59176,8.41667,7.64793,7.65627,NA,NA,NA,NA,0.908,NA,NA
59324,8.56668,7.59839,7.45865,NA,NA,NA,NA,0.857,NA,NA
59571,8.08621,7.95394,8.44183,NA,0.753,NA,NA,NA,NA,NA
