id,x0,x1,x2,fitness-3,fitness-3.5,fitness-4,fitness-2.5,fitness-2,fitness-1.5,fitness-1,fitness-4.5,fitness-5,fitness-0.5
37132,2.02984,2.30719,-4.44775,NA,NA,NA,NA,NA,-41.875,NA,NA,NA,NA
37208,1.76044,2.40589,-4.02164,-20.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
37492,2.10576,3.11105,-5,NA,NA,NA,-59.476,NA,NA,NA,NA,NA,NA
37714,2.56593,1.58182,-4.78182,NA,NA,NA,-22.893,NA,NA,NA,NA,NA,NA
37802,1.75838,1.40031,-5,NA,NA,NA,NA,-19.919,NA,NA,NA,NA,NA
38151,1.24128,2.44541,-4.78736,NA,NA,NA,NA,-30.83,NA,NA,NA,NA,NA
38364,0.631052,2.45965,-5,NA,NA,NA,NA,-63.173,NA,NA,NA,NA,NA
38592,2.10456,2.67148,-5,NA,NA,NA,NA,-43.237,NA,NA,NA,NA,NA
38679,1.11235,3.25615,-4.90309,NA,NA,NA,-72.631,NA,NA,NA,NA,NA,NA
38856,1.18643,2.31158,-5,-32.058,NA,NA,NA,NA,NA,NA,NA,NA,NA
39024,2.71686,2.52666,-4.29753,-48.737,NA,NA,NA,NA,NA,NA,NA,NA,NA
39339,2.72156,1.76397,-5,-35.224,NA,NA,NA,NA,NA,NA,NA,NA,NA
39419,1.9295,1.63851,-5,NA,NA,NA,-14.992,NA,NA,NA,NA,NA,NA
39697,2.31477,1.85955,-5,NA,NA,NA,-21.615,NA,NA,NA,NA,NA,NA
39880,2.23475,1.64617,-5,-23.716,NA,NA,NA,NA,NA,NA,NA,NA,NA
40031,2.05659,0.932418,-5,NA,NA,NA,NA,-41.544,NA,NA,NA,NA,NA
40344,1.81222,2.75793,-5,NA,NA,-93.403,NA,NA,NA,NA,NA,NA,NA
40437,2.4319,3.0672,-4.17414,-59.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
40790,1.84729,1.78332,-4.50995,NA,NA,NA,-3.273,NA,NA,NA,NA,NA,NA
40803,1.35093,1.92327,-4.42522,NA,NA,NA,NA,-20.392,NA,NA,NA,NA,NA
41061,1.49899,1.61487,-4.05031,NA,NA,NA,-6.211,NA,NA,NA,NA,NA,NA
41201,2.43488,2.43415,-4.58096,NA,NA,NA,-27.777,NA,NA,NA,NA,NA,NA
41553,2.11853,2.774,-4.71962,NA,-49.572,NA,NA,NA,NA,NA,NA,NA,NA
41745,2.68754,1.34886,-5,NA,NA,NA,-36.687,NA,NA,NA,NA,NA,NA
41803,2.01618,2.17692,-3.79703,NA,NA,NA,NA,NA,-31.419,NA,NA,NA,NA
42081,2.12284,1.3531,-3.02721,-62.618,NA,NA,NA,NA,NA,NA,NA,NA,NA
42207,1.25661,1.98401,-4.51224,-23.138,NA,NA,NA,NA,NA,NA,NA,NA,NA
42515,2.11028,2.03008,-4.08113,NA,NA,NA,NA,-14.873,NA,NA,NA,NA,NA
42650,1.37576,1.68589,-4.48828,NA,-38.451,NA,NA,NA,NA,NA,NA,NA,NA
42836,0.653185,1.5435,-3.57658,-57.733,NA,NA,NA,NA,NA,NA,NA,NA,NA
43055,1.08878,2.19984,-4.22445,NA,-42.745,NA,NA,NA,NA,NA,NA,NA,NA
43268,1.79215,2.07389,-4.5324,NA,-22.712,NA,NA,NA,NA,NA,NA,NA,NA
43435,2.31499,1.9376,-4.41079,-24.063,NA,NA,NA,NA,NA,NA,NA,NA,NA
43668,2.47381,2.2974,-4.53216,NA,NA,NA,-24.269,NA,NA,NA,NA,NA,NA
43818,2.48201,3.02826,-5,NA,NA,NA,-62.72,NA,NA,NA,NA,NA,NA
44162,0.182977,2.68635,-4.10697,-86.411,NA,NA,NA,NA,NA,NA,NA,NA,NA
44348,-0.216937,1.89089,-4.84697,NA,NA,NA,NA,-107.825,NA,NA,NA,NA,NA
44406,1.0121,2.31201,-5,NA,NA,NA,NA,NA,NA,-78.924,NA,NA,NA
44722,0.655018,2.24449,-3.64036,NA,NA,NA,NA,NA,-82.213,NA,NA,NA,NA
44956,1.66306,2.51702,-3.43865,NA,NA,NA,NA,-48.839,NA,NA,NA,NA,NA
45016,2.96084,1.66147,-5,NA,NA,NA,NA,-49.008,NA,NA,NA,NA,NA
45386,2.76495,2.02646,-4.36155,NA,NA,NA,NA,NA,-50.529,NA,NA,NA,NA
45559,2.75176,1.95243,-4.34514,NA,NA,NA,NA,-30.779,NA,NA,NA,NA,NA
45798,2.10633,1.69557,-5,NA,NA,NA,NA,NA,-33.681,NA,NA,NA,NA
45809,1.74678,2.36325,-4.9443,NA,NA,NA,NA,-28.154,NA,NA,NA,NA,NA
46041,0.913545,1.05337,-4.899,-54.972,NA,NA,NA,NA,NA,NA,NA,NA,NA
46251,0.603088,1.88313,-5,-50.262,NA,NA,NA,NA,NA,NA,NA,NA,NA
46542,2.07698,1.15109,-4.04383,NA,NA,NA,NA,NA,NA,-62.215,NA,NA,NA
46741,2.58104,1.67784,-4.58842,NA,NA,NA,-20.03,NA,NA,NA,NA,NA,NA
46963,2.86273,1.85736,-4.39035,NA,NA,NA,NA,-33.075,NA,NA,NA,NA,NA
47045,2.84201,2.3788,-4.72588,NA,NA,NA,NA,NA,NA,-91.606,NA,NA,NA
47290,1.52548,1.64663,-3.79687,NA,NA,NA,NA,-17.019,NA,NA,NA,NA,NA
47475,3.07513,1.31784,-5,-55.599,NA,NA,NA,NA,NA,NA,NA,NA,NA
47667,2.26624,1.45712,-4.83809,NA,NA,NA,-16.083,NA,NA,NA,NA,NA,NA
47801,1.68178,1.65793,-4.16097,-3.718,NA,NA,NA,NA,NA,NA,NA,NA,NA
48013,1.13417,2.79648,-4.71654,-47.004,NA,NA,NA,NA,NA,NA,NA,NA,NA
48319,1.48025,3.58803,-3.94384,-91.406,NA,NA,NA,NA,NA,NA,NA,NA,NA
48475,2.08008,3.0142,-4.31397,NA,NA,NA,NA,NA,-71.365,NA,NA,NA,NA
48618,2.87668,1.24746,-3.14237,NA,NA,NA,-78.409,NA,NA,NA,NA,NA,NA
48979,0.527907,2.01673,-5,-61.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
49111,1.05249,2.2462,-3.5209,-42.181,NA,NA,NA,NA,NA,NA,NA,NA,NA
49270,1.424,2.48014,-4.11494,NA,NA,NA,-23.371,NA,NA,NA,NA,NA,NA
49598,1.99846,3.6407,-5,NA,NA,NA,NA,-101.068,NA,NA,NA,NA,NA
49753,1.16442,2.03177,-5,NA,-45.535,NA,NA,NA,NA,NA,NA,NA,NA
49861,1.21123,2.25101,-5,NA,NA,-66.368,NA,NA,NA,NA,NA,NA,NA
50090,1.79668,3.62529,-5,NA,NA,NA,NA,-95.339,NA,NA,NA,NA,NA
50312,2.04198,1.83942,-4.74795,NA,NA,NA,NA,-22.775,NA,NA,NA,NA,NA
50436,1.80512,1.132,-3.94495,NA,NA,NA,-17.178,NA,NA,NA,NA,NA,NA
50744,1.11749,1.48871,-4.06265,NA,NA,-70.347,NA,NA,NA,NA,NA,NA,NA
50846,1.36213,2.16261,-3.94312,NA,NA,NA,NA,NA,NA,NA,-103.264,NA,NA
51150,1.07608,1.33247,-4.84491,NA,NA,NA,NA,NA,NA,NA,NA,-137.503,NA
51323,2.33601,1.23621,-4.66759,NA,-43.889,NA,NA,NA,NA,NA,NA,NA,NA
