id,x0,x1,x2,fitness5,fitness4,fitness4.5,fitness3.5
79338,5,5,-0.643284,9545.355,NA,NA,NA
79594,4.62411,4.28888,-1.40019,4333.932,NA,NA,NA
79720,5,5,-0.652444,9918.126,NA,NA,NA
79910,3.24545,5,-1.01702,NA,NA,1489.642,NA
80157,3.14988,5,-1.44849,3995.098,NA,NA,NA
80274,3.81852,4.75664,-0.538583,1825.706,NA,NA,NA
80449,4.70265,4.73864,-0.789587,18395.584,NA,NA,NA
80761,4.17109,5,-0.767281,NA,3939.765,NA,NA
80909,4.95963,4.85305,-0.899158,17880.818,NA,NA,NA
81059,5,5,-0.715619,11981.288,NA,NA,NA
81397,5,5,-0.830561,12916.39,NA,NA,NA
81580,5,4.75619,-0.912951,13014.64,NA,NA,NA
81655,5,5,-1.07743,2792.972,NA,NA,NA
81911,5,5,-1.68646,NA,2286.099,NA,NA
82105,4.86894,5,-1.55829,NA,5314.73,NA,NA
82255,4.97806,5,-1.95129,6638.311,NA,NA,NA
82510,5,5,-1.98611,5507.227,NA,NA,NA
82783,5,5,0.345607,3452.351,NA,NA,NA
82964,5,4.97654,-0.780303,14285.007,NA,NA,NA
83145,5,4.94961,-0.687811,13345.759,NA,NA,NA
83273,5,4.40502,-1.73513,710.425,NA,NA,NA
83588,3.64178,5,-0.574222,1518.403,NA,NA,NA
83693,5,4.2096,-1.58818,4811.019,NA,NA,NA
83892,5,5,-2.96498,3181.586,NA,NA,NA
84141,4.79175,5,-1.95279,8576.777,NA,NA,NA
84395,5,5,-0.727845,14566.786,NA,NA,NA
84526,4.17889,5,-0.207964,5420.337,NA,NA,NA
84614,5,4.80588,-0.79217,16815.598,NA,NA,NA
84809,5,5,-0.821399,12989.218,NA,NA,NA
85135,5,5,-0.70087,NA,NA,4092.767,NA
85326,5,5,-0.887386,NA,NA,12998.05,NA
85508,3.73159,4.87471,-0.879108,5752.821,NA,NA,NA
85773,4.71937,5,0.371939,3484.657,NA,NA,NA
85960,5,5,-0.590445,7115.126,NA,NA,NA
86072,5,5,-0.901422,15298.679,NA,NA,NA
86200,5,4.30637,-1.45106,9075.928,NA,NA,NA
86465,5,5,-2.00622,5553.07,NA,NA,NA
86695,5,5,-1.05241,4316.906,NA,NA,NA
86886,5,5,0.503588,1494.756,NA,NA,NA
87030,5,5,-0.638912,9361.745,NA,NA,NA
87328,4.62703,4.79402,-0.697832,8844.028,NA,NA,NA
87473,4.93813,5,-0.938203,12492.927,NA,NA,NA
87637,5,4.88276,-0.674618,18472.017,NA,NA,NA
87847,5,5,-0.670323,10596.113,NA,NA,NA
88039,4.92988,5,-0.635962,11512.062,NA,NA,NA
88397,5,5,-0.798563,13057.53,NA,NA,NA
88538,5,4.86849,-0.995526,10024.316,NA,NA,NA
88797,5,4.89111,-0.979028,NA,NA,NA,3512.918
88855,5,4.71798,-0.60159,NA,2660.471,NA,NA
89039,5,5,-0.856336,14624.571,NA,NA,NA
89263,5,5,-0.974513,8586.719,NA,NA,NA
89540,4.76793,4.64409,-1.93099,4138.195,NA,NA,NA
89724,5,5,-1.00603,6971.799,NA,NA,NA
89987,4.67377,5,-0.649025,8230.144,NA,NA,NA
90120,4.78546,5,0.355583,4277.109,NA,NA,NA
90270,5,4.1787,-1.31388,5254.37,NA,NA,NA
90416,5,5,-0.702657,15327.965,NA,NA,NA
90775,5,5,-0.969973,8803.611,NA,NA,NA
90874,5,5,-0.918876,10921.59,NA,NA,NA
91179,5,4.71582,-0.978489,10374.937,NA,NA,NA
91368,5,5,-1.09197,NA,NA,1347.182,NA
91584,5,5,-0.831593,12906.56,NA,NA,NA
91784,5,5,-0.655619,10043.432,NA,NA,NA
91874,5,5,-0.880392,12070.997,NA,NA,NA
92082,4.85735,5,-0.773153,17255.901,NA,NA,NA
92367,5,5,-0.729081,12291.039,NA,NA,NA
92562,5,5,-0.705487,11716.09,NA,NA,NA
92774,4.89257,4.77023,-0.801104,20754.27,NA,NA,NA
92965,5,5,-0.803865,13056.066,NA,NA,NA
93191,5,5,-0.702611,15131.318,NA,NA,NA
93376,5,4.64925,-0.673717,7731.117,NA,NA,NA
93442,5,5,-0.874228,12215.951,NA,NA,NA
93618,4.86519,4.78225,-1.87363,6083.368,NA,NA,NA
93871,5,5,-1.96259,6910.91,NA,NA,NA
94062,5,4.21573,-1.38568,6794.835,NA,NA,NA
94299,4.71334,3.2409,-1.24074,2514.688,NA,NA,NA
