id,x0,x1,x2,fitness7.5,fitness8,fitness7,fitness9,fitness8.5,fitness6.5,fitness9.5
63515,8.14743,7.60432,8.3067,0.881,NA,NA,NA,NA,NA,NA
63699,7.44851,7.08899,6.90224,NA,0.748,NA,NA,NA,NA,NA
63926,7.53838,7.60649,7.62064,NA,NA,NA,NA,0.932,NA,NA
64188,7.33277,7.6267,8.77673,NA,NA,NA,0.547,NA,NA,NA
64329,7.11374,7.8026,7.67692,NA,NA,NA,NA,0.818,NA,NA
64580,7.24868,7.84782,8.21061,NA,0.895,NA,NA,NA,NA,NA
64688,8.53005,7.87779,8.16971,NA,0.832,NA,NA,NA,NA,NA
64894,7.75267,7.60485,7.99177,0.954,NA,NA,NA,NA,NA,NA
65139,8.57874,7.22728,8.0883,NA,0.789,NA,NA,NA,NA,NA
65385,7.47396,7.89134,7.64453,NA,0.972,NA,NA,NA,NA,NA
65419,7.56144,8.7405,6.91953,0.671,NA,NA,NA,NA,NA,NA
65770,7.28767,7.38225,6.76692,NA,NA,NA,0.579,NA,NA,NA
65905,8.15407,7.05598,7.30079,NA,NA,NA,NA,0.721,NA,NA
66018,7.18586,8.34736,7.3125,0.829,NA,NA,NA,NA,NA,NA
66279,6.62709,8.35548,7.84152,0.684,NA,NA,NA,NA,NA,NA
66440,8.00455,8.41987,8.15978,0.847,NA,NA,NA,NA,NA,NA
66794,7.94298,8.177,7.63705,NA,0.944,NA,NA,NA,NA,NA
66916,7.61523,7.72977,7.75186,NA,NA,0.952,NA,NA,NA,NA
67194,8.43603,7.96981,7.73063,NA,NA,NA,NA,0.766,NA,NA
67303,7.59217,8.30928,7.42242,0.877,NA,NA,NA,NA,NA,NA
67550,7.66918,7.47975,8.32074,0.897,NA,NA,NA,NA,NA,NA
67681,6.96001,7.66925,8.24066,NA,0.826,NA,NA,NA,NA,NA
67964,7.88254,7.72096,7.73469,NA,NA,NA,NA,0.911,NA,NA
68089,7.89308,7.82941,8.28852,NA,NA,NA,NA,0.825,NA,NA
68227,7.9077,8.5477,7.37883,0.838,NA,NA,NA,NA,NA,NA
68448,8.34733,7.82805,7.31668,NA,0.884,NA,NA,NA,NA,NA
