id,x0,x1,x2,fitness8.5,fitness9,fitness7.5,fitness8,fitness7,fitness6.5,fitness9.5,fitness6,fitness10,fitness5,fitness5.5,fitness4,fitness3.5,fitness4.5
42050,7.37191,8.1684,6.05148,NA,NA,NA,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42282,7.21281,7.82956,6.66376,NA,0.513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42491,7.8036,7.52676,7.5551,0.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42706,8.33921,8.24787,8.32524,NA,NA,NA,NA,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA
42922,8.20286,6.69447,8.3441,NA,NA,NA,NA,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA
43172,7.25465,7.94497,6.56836,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43326,7.21911,8.2941,6.84147,NA,NA,0.711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43406,7.33891,7.58766,7.80507,NA,NA,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43669,8.11221,8.04735,7.85198,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43974,8.56427,9.6798,7.98006,NA,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44080,8.9652,7.8721,8.76762,NA,NA,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
