id,x0,x1,x2,fitness7,fitness7.5,fitness8,fitness8.5,fitness9.5,fitness9,fitness6.5
45481,7.60752,7.46349,8.0014,NA,0.949,NA,NA,NA,NA,NA
45673,7.88414,8.3331,6.9612,NA,0.802,NA,NA,NA,NA,NA
45968,7.4405,8.67798,8.31714,NA,NA,0.758,NA,NA,NA,NA
46084,7.54468,7.77764,7.38671,NA,0.971,NA,NA,NA,NA,NA
46264,7.40077,8.21639,7.95058,NA,NA,NA,NA,NA,0.693,NA
46595,7.54448,7.90752,7.69504,NA,0.985,NA,NA,NA,NA,NA
46748,7.70025,7.93039,8.44232,0.847,NA,NA,NA,NA,NA,NA
46876,8.17939,7.96258,7.19174,NA,NA,0.884,NA,NA,NA,NA
47168,8.02878,7.4365,7.57604,NA,NA,NA,NA,NA,0.782,NA
47256,7.78697,7.33218,8.05341,NA,NA,NA,NA,NA,0.679,NA
47526,7.3942,7.91011,7.06876,NA,0.883,NA,NA,NA,NA,NA
47760,7.95389,8.01726,7.64448,NA,NA,0.936,NA,NA,NA,NA
47855,7.79185,8.01648,7.59511,NA,NA,0.967,NA,NA,NA,NA
48016,7.74009,7.78555,7.40146,0.917,NA,NA,NA,NA,NA,NA
48335,8.15141,8.04155,7.15094,NA,0.869,NA,NA,NA,NA,NA
48426,7.28591,7.40836,8.1838,NA,0.898,NA,NA,NA,NA,NA
48677,8.1327,8.33557,7.45049,NA,0.867,NA,NA,NA,NA,NA
48991,7.39966,8.10521,7.799,NA,NA,0.944,NA,NA,NA,NA
49013,7.42579,7.27139,7.93713,NA,NA,0.905,NA,NA,NA,NA
49305,8.38514,7.40126,7.88423,NA,0.885,NA,NA,NA,NA,NA
49479,8.36529,7.73815,8.02212,NA,NA,0.857,NA,NA,NA,NA
49680,7.8751,7.78129,8.35783,NA,NA,0.906,NA,NA,NA,NA
49863,7.91002,7.6266,7.64066,NA,NA,0.984,NA,NA,NA,NA
50200,8.17355,7.53546,8.27085,NA,NA,0.878,NA,NA,NA,NA
50354,8.1062,7.83369,8.53691,NA,0.843,NA,NA,NA,NA,NA
50524,8.1227,8.70705,8.05196,NA,0.778,NA,NA,NA,NA,NA
50799,7.37056,7.49572,7.16694,NA,NA,0.856,NA,NA,NA,NA
50900,8.29994,7.87471,6.8882,NA,NA,0.78,NA,NA,NA,NA
51008,7.51939,7.61772,7.64556,NA,NA,NA,0.861,NA,NA,NA
51399,7.29388,7.31248,8.52984,NA,NA,NA,0.754,NA,NA,NA
51465,7.74134,8.05032,7.4871,NA,NA,0.964,NA,NA,NA,NA
51770,7.7632,8.35863,7.81776,0.855,NA,NA,NA,NA,NA,NA
51869,7.34555,8.16178,8.62667,NA,0.788,NA,NA,NA,NA,NA
52069,7.02568,8.03452,7.3,NA,NA,0.792,NA,NA,NA,NA
52342,7.11496,7.88863,7.29003,NA,NA,0.843,NA,NA,NA,NA
52523,7.13202,7.32076,8.39392,NA,NA,0.796,NA,NA,NA,NA
52740,7.32391,7.76259,6.86706,NA,0.816,NA,NA,NA,NA,NA
52850,8.24871,8.03621,7.83002,NA,NA,0.917,NA,NA,NA,NA
53145,7.32484,7.27686,7.71955,NA,NA,NA,NA,NA,0.732,NA
53357,7.43506,7.4991,8.25518,NA,NA,NA,0.816,NA,NA,NA
53457,7.53495,7.26709,8.34301,NA,NA,NA,0.774,NA,NA,NA
53725,8.35505,8.01896,8.15373,NA,0.863,NA,NA,NA,NA,NA
53960,8.7022,7.51102,7.88529,0.67,NA,NA,NA,NA,NA,NA
54030,8.33942,7.54492,8.21886,NA,NA,0.867,NA,NA,NA,NA
54237,7.72537,7.73367,6.88747,NA,0.858,NA,NA,NA,NA,NA
54427,7.07891,7.56706,7.63931,NA,NA,NA,NA,NA,NA,0.715
54604,7.65275,8.32008,7.6936,NA,0.888,NA,NA,NA,NA,NA
54865,7.86392,8.40829,7.47451,0.799,NA,NA,NA,NA,NA,NA
55060,7.99329,8.09136,7.67915,NA,NA,0.942,NA,NA,NA,NA
55359,7.66503,8.99594,7.55427,NA,NA,0.737,NA,NA,NA,NA
55430,7.83588,7.54085,7.18695,NA,NA,0.923,NA,NA,NA,NA
55786,7.5819,8.50197,7.68823,NA,NA,NA,0.807,NA,NA,NA
55818,7.14269,8.32006,8.64553,NA,0.713,NA,NA,NA,NA,NA
56080,6.76378,8.01801,7.49127,NA,NA,NA,0.627,NA,NA,NA
56232,7.13221,7.40525,7.64914,NA,NA,0.873,NA,NA,NA,NA
56480,7.5132,6.89965,7.95067,NA,NA,0.831,NA,NA,NA,NA
56657,7.07119,7.31482,7.46122,NA,NA,0.844,NA,NA,NA,NA
56970,7.37268,8.23564,8.09118,NA,0.89,NA,NA,NA,NA,NA
57136,7.15004,7.79038,6.89047,NA,NA,0.756,NA,NA,NA,NA
57224,6.70564,7.15009,7.71463,NA,NA,NA,0.614,NA,NA,NA
57519,7.94298,7.49007,8.56313,NA,0.824,NA,NA,NA,NA,NA
57743,7.91929,8.16097,7.39858,NA,NA,0.899,NA,NA,NA,NA
57853,8.35843,7.28071,8.36976,NA,NA,NA,0.695,NA,NA,NA
58186,7.10791,8.34144,7.34472,NA,0.818,NA,NA,NA,NA,NA
58249,7.3522,7.72878,7.67623,NA,NA,0.918,NA,NA,NA,NA
58513,7.30886,8.05388,8.61612,NA,0.784,NA,NA,NA,NA,NA
58780,7.82424,8.31806,7.66438,NA,NA,NA,0.835,NA,NA,NA
58874,7.98359,8.4401,7.29493,NA,NA,NA,0.763,NA,NA,NA
59072,7.78141,7.96105,8.21012,NA,0.901,NA,NA,NA,NA,NA
59340,8.49143,7.47537,8.35523,0.655,NA,NA,NA,NA,NA,NA
59422,7.65781,8.1007,7.02803,NA,0.832,NA,NA,NA,NA,NA
59725,7.97326,7.60314,7.17866,NA,NA,0.896,NA,NA,NA,NA
59852,8.05546,7.29503,7.84553,NA,NA,0.896,NA,NA,NA,NA
60131,8.57204,7.47727,8.11425,NA,NA,0.797,NA,NA,NA,NA
60354,7.6488,8.07409,8.16017,NA,0.927,NA,NA,NA,NA,NA
60597,8.634,7.65017,7.98831,NA,0.818,NA,NA,NA,NA,NA
60686,8.31619,7.36513,7.43355,NA,0.889,NA,NA,NA,NA,NA
60983,7.70054,6.92013,8.33469,NA,0.796,NA,NA,NA,NA,NA
61199,8.18819,8.09351,8.53081,NA,NA,0.78,NA,NA,NA,NA
61277,7.4473,8.53268,8.05383,0.747,NA,NA,NA,NA,NA,NA
