id,x0,x1,x2,fitness5.5,fitness7,fitness8.5,fitness8,fitness9.5,fitness10,fitness7.5,fitness6.5,fitness9,fitness6,fitness4.5,fitness4,fitness5,fitness3.5,fitness10.5
35211,7.84217,8.05691,9.07216,NA,NA,NA,0.686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35466,8.49827,8.13308,7.67937,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35747,7.507,7.47316,7.30775,NA,NA,NA,0.932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35963,7.1506,7.17818,6.89441,NA,NA,NA,NA,NA,NA,0.726,NA,NA,NA,NA,NA,NA,NA,NA
36110,7.96055,7.93106,8.18703,NA,NA,NA,NA,NA,NA,NA,0.679,NA,NA,NA,NA,NA,NA,NA
36377,7.31503,7.73627,8.16681,0.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36415,8.42624,7.1181,8.22189,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36657,8.68227,7.87496,7.60084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,NA,NA,NA,NA,NA
36946,8.09437,7.7228,7.7182,NA,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37097,8.3328,6.74695,7.89268,NA,NA,NA,0.684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37300,7.71313,7.10903,7.97842,NA,NA,NA,0.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37492,8.05846,7.81419,5.81265,NA,NA,0.396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37635,8.41461,6.99435,6.22961,NA,NA,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37866,7.91532,6.84305,7.53552,NA,NA,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA
38091,8.02597,7.4002,7.4247,NA,NA,NA,NA,NA,NA,NA,0.724,NA,NA,NA,NA,NA,NA,NA
38334,7.72037,6.95039,7.22077,NA,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA,NA
38462,6.83679,7.39155,8.98616,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38689,7.70089,7.31898,7.98063,NA,NA,NA,NA,NA,NA,NA,NA,0.731,NA,NA,NA,NA,NA,NA
38822,7.82905,6.26176,7.79327,NA,NA,NA,0.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39027,9.35956,7.49402,7.76491,NA,0.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39259,8.04371,7.03805,7.58168,NA,NA,NA,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA,NA,NA
39468,8.3917,8.08841,8.00156,NA,NA,NA,NA,NA,NA,0.864,NA,NA,NA,NA,NA,NA,NA,NA
39635,7.78053,7.01244,7.40196,NA,0.817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39927,7.20636,7.35006,7.61342,NA,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40015,7.92735,7.27425,8.31783,0.381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40391,7.66878,7.8036,7.51344,NA,NA,NA,NA,NA,NA,0.959,NA,NA,NA,NA,NA,NA,NA,NA
