id,x0,x1,x2,fitness-2.5,fitness-3,fitness-2,fitness-3.5,fitness-1.5,fitness-4,fitness-1
39053,2.3007,2.37522,-4.68309,NA,NA,NA,NA,-40.157,NA,NA
39245,1.74178,1.6271,-3.92078,NA,NA,NA,NA,-34.924,NA,NA
39488,2.26661,1.30725,-4.50152,NA,NA,-21.337,NA,NA,NA,NA
39700,2.58772,0.708997,-4.56796,NA,-54.334,NA,NA,NA,NA,NA
39803,2.08368,2.07636,-4.8708,-16.008,NA,NA,NA,NA,NA,NA
40110,0.546964,2.12914,-5,NA,-54.203,NA,NA,NA,NA,NA
40382,1.87452,2.45144,-5,-27.244,NA,NA,NA,NA,NA,NA
40577,1.57642,2.31545,-5,-24.219,NA,NA,NA,NA,NA,NA
40626,2.64912,2.35037,-5,-40.347,NA,NA,NA,NA,NA,NA
40901,3.31155,1.71859,-4.55328,NA,NA,NA,-68.676,NA,NA,NA
41125,1.97035,1.47719,-5,NA,-29.167,NA,NA,NA,NA,NA
41305,1.8312,1.8988,-5,NA,NA,-17.908,NA,NA,NA,NA
41565,2.42695,2.98361,-5,-59.357,NA,NA,NA,NA,NA,NA
41735,2.54485,2.19114,-4.82244,NA,NA,NA,-44.68,NA,NA,NA
41896,1.94536,1.1316,-4.57215,NA,NA,NA,-30.753,NA,NA,NA
42012,1.85927,1.27412,-4.81776,-14.505,NA,NA,NA,NA,NA,NA
42340,3.20138,2.51906,-5,NA,-73.297,NA,NA,NA,NA,NA
42428,2.08892,1.71343,-4.08968,-6.155,NA,NA,NA,NA,NA,NA
42692,1.53534,2.9404,-4.28645,-40.963,NA,NA,NA,NA,NA,NA
42929,1.45387,2.57279,-4.66309,NA,NA,-33.34,NA,NA,NA,NA
43148,1.83841,1.79938,-4.42385,NA,NA,-14.585,NA,NA,NA,NA
43268,1.13574,2.1669,-3.62728,NA,NA,-37.649,NA,NA,NA,NA
43488,1.49909,2.15182,-3.55195,NA,NA,-33.273,NA,NA,NA,NA
43733,2.11165,2.27989,-3.6746,-25.431,NA,NA,NA,NA,NA,NA
43929,0.65955,2.34756,-4.19529,-43.53,NA,NA,NA,NA,NA,NA
44069,0.753908,2.13698,-4.25077,NA,NA,-39.342,NA,NA,NA,NA
44247,1.38912,1.87183,-4.23006,NA,NA,NA,-21.45,NA,NA,NA
44422,1.59032,0.956688,-5,NA,NA,-44.341,NA,NA,NA,NA
44793,2.83429,1.66315,-5,NA,-43.684,NA,NA,NA,NA,NA
44994,2.08705,1.51686,-5,-17.021,NA,NA,NA,NA,NA,NA
45171,2.1388,1.83226,-5,-18.53,NA,NA,NA,NA,NA,NA
45373,2.55671,2.05568,-4.73579,NA,NA,-25.882,NA,NA,NA,NA
45556,1.80914,1.54824,-5,NA,NA,NA,NA,-35.287,NA,NA
45688,2.29839,1.28028,-4.16457,NA,NA,-18.991,NA,NA,NA,NA
45810,2.08979,1.29713,-4.38788,NA,NA,-10.119,NA,NA,NA,NA
46166,1.91975,1.81103,-3.67156,NA,-17.35,NA,NA,NA,NA,NA
46307,2.36118,2.10475,-4.2459,NA,-27.136,NA,NA,NA,NA,NA
46470,1.59133,2.21575,-5,-21.601,NA,NA,NA,NA,NA,NA
46762,1.32078,2.46902,-5,NA,NA,-43.736,NA,NA,NA,NA
46907,2.76497,1.50307,-5,-36.972,NA,NA,NA,NA,NA,NA
47126,2.26366,1.34232,-5,NA,NA,-25.416,NA,NA,NA,NA
47355,1.95172,2.72585,-4.39176,-30.132,NA,NA,NA,NA,NA,NA
47402,0.826249,1.75003,-4.4785,NA,-38.687,NA,NA,NA,NA,NA
47628,2.65501,1.60629,-3.85288,NA,-31.853,NA,NA,NA,NA,NA
47859,1.66029,2.122,-5,NA,NA,NA,-34.926,NA,NA,NA
48088,0.867826,1.81408,-5,-37.839,NA,NA,NA,NA,NA,NA
48229,1.96208,1.54676,-4.62832,NA,NA,NA,-22.727,NA,NA,NA
48562,2.60326,1.41146,-4.42385,NA,NA,-32.295,NA,NA,NA,NA
48789,2.85684,2.15782,-4.13184,-36.612,NA,NA,NA,NA,NA,NA
48967,1.69766,1.80559,-5,NA,NA,-20.788,NA,NA,NA,NA
49062,1.31113,2.08682,-4.38542,NA,-19.092,NA,NA,NA,NA,NA
49260,1.36915,1.34509,-5,NA,NA,NA,-42.724,NA,NA,NA
49594,2.1484,1.68854,-5,NA,NA,NA,-45.483,NA,NA,NA
49765,2.2266,1.4526,-5,NA,-24.219,NA,NA,NA,NA,NA
49998,2.02595,0.602076,-4.21368,-57.003,NA,NA,NA,NA,NA,NA
50096,2.23594,1.51931,-4.85204,NA,NA,NA,NA,-39.809,NA,NA
50230,1.83512,2.14863,-5,NA,NA,-21.641,NA,NA,NA,NA
50580,2.1539,2.39019,-4.75469,NA,-30.817,NA,NA,NA,NA,NA
50657,1.92568,2.18004,-4.68111,NA,NA,-20.083,NA,NA,NA,NA
