id,x0,x1,x2,fitness-2,fitness-1.5,fitness-2.5,fitness-3,fitness-3.5
52287,1.66669,1.40813,-4.99317,NA,NA,NA,-19.926,NA
52509,1.03073,1.41609,-3.83896,NA,NA,-33.643,NA,NA
52756,1.55136,2.38657,-4.41732,-18.785,NA,NA,NA,NA
52971,1.93974,1.56611,-4.69519,NA,NA,-5.872,NA,NA
53118,2.56331,1.79077,-4.57829,NA,NA,-19.722,NA,NA
53317,1.54868,2.57654,-4.52783,NA,NA,-24.269,NA,NA
53551,1.31583,2.80811,-4.00404,-41.799,NA,NA,NA,NA
53791,1.52222,1.82499,-4.50419,-9.311,NA,NA,NA,NA
53924,2.55163,1.46559,-4.61114,NA,NA,NA,-25.12,NA
54069,1.9917,2.0066,-4.49377,NA,NA,-7.735,NA,NA
54351,1.74027,1.85512,-4.43638,-7.059,NA,NA,NA,NA
54520,1.85986,1.56483,-4.538,-12.229,NA,NA,NA,NA
54675,1.81159,2.0821,-4.13636,NA,-24.208,NA,NA,NA
54980,2.66418,2.36838,-4.55352,NA,NA,-33.817,NA,NA
55122,1.66647,2.53169,-4.74269,NA,NA,-25.13,NA,NA
55251,1.18732,1.93735,-4.10166,NA,NA,-15.133,NA,NA
55538,0.941897,2.1052,-4.17886,NA,NA,-28.086,NA,NA
55768,1.2162,2.09601,-3.85731,-27.718,NA,NA,NA,NA
55948,2.16999,1.39235,-4.84574,NA,NA,-15.854,NA,NA
56172,1.42114,1.90741,-4.91249,-18.36,NA,NA,NA,NA
56246,2.67909,2.01589,-4.76853,NA,NA,NA,-31.701,NA
56424,2.26535,1.13916,-4.37579,NA,NA,-16.971,NA,NA
56675,1.76783,2.23901,-4.09956,-20.109,NA,NA,NA,NA
56899,1.59595,2.17551,-4.40562,NA,NA,-10.699,NA,NA
57055,2.12179,1.17614,-4.52924,NA,NA,NA,NA,-41.783
57203,1.64793,1.76894,-4.3382,NA,NA,-2.875,NA,NA
57459,2.25472,2.26705,-4.00081,NA,NA,-19.647,NA,NA
57684,1.15779,1.30488,-4.32549,NA,NA,-19.23,NA,NA
57811,1.87118,2.77447,-4.15556,-34.578,NA,NA,NA,NA
