id,x0,x1,x2,fitness8,fitness7.5,fitness8.5,fitness7,fitness6.5,fitness9,fitness9.5
64118,7.62608,8.14608,8.23256,NA,0.909,NA,NA,NA,NA,NA
64398,7.50297,7.10071,7.6977,0.897,NA,NA,NA,NA,NA,NA
64434,7.66064,7.05256,7.54447,0.892,NA,NA,NA,NA,NA,NA
64735,7.51027,7.73915,8.26673,0.885,NA,NA,NA,NA,NA,NA
64981,7.81657,7.36404,7.64422,0.942,NA,NA,NA,NA,NA,NA
65001,7.46208,8.14531,7.40845,NA,NA,0.86,NA,NA,NA,NA
65234,7.76123,8.04752,7.55494,NA,NA,0.836,NA,NA,NA,NA
65442,7.44275,7.35837,7.45614,NA,NA,NA,0.864,NA,NA,NA
65682,7.34164,7.283,7.74297,NA,NA,NA,0.812,NA,NA,NA
65887,7.00849,7.87217,7.47746,NA,0.851,NA,NA,NA,NA,NA
66117,7.77634,7.83472,7.96101,0.969,NA,NA,NA,NA,NA,NA
66271,7.87708,7.95398,7.27764,0.912,NA,NA,NA,NA,NA,NA
66470,8.05676,7.67094,7.39196,NA,NA,NA,0.864,NA,NA,NA
66764,7.54661,8.22352,8.56849,0.808,NA,NA,NA,NA,NA,NA
66856,8.51908,7.48559,8.22598,NA,0.812,NA,NA,NA,NA,NA
67008,8.06508,7.01649,8.23384,NA,0.82,NA,NA,NA,NA,NA
67384,7.78343,7.44759,7.60688,NA,NA,0.827,NA,NA,NA,NA
67483,6.95278,7.53252,7.67841,0.827,NA,NA,NA,NA,NA,NA
67645,7.37371,8.10806,7.82709,NA,NA,0.874,NA,NA,NA,NA
67878,7.97822,7.82782,7.61886,NA,NA,NA,0.859,NA,NA,NA
68177,8.44769,8.22436,8.06296,NA,NA,NA,0.718,NA,NA,NA
68205,8.49483,7.53685,7.71254,NA,0.875,NA,NA,NA,NA,NA
68596,8.05753,8.0483,8.15567,NA,0.912,NA,NA,NA,NA,NA
