id,x0,x1,x2,fitness8.5,fitness8,fitness7.5,fitness7,fitness9,fitness6.5,fitness9.5
45233,8.17855,7.0659,7.51849,NA,NA,0.855,NA,NA,NA,NA
45503,7.1793,7.12945,6.72872,NA,NA,NA,0.622,NA,NA,NA
45674,7.46153,7.78064,7.97331,NA,NA,NA,0.919,NA,NA,NA
45997,8.06265,7.20682,7.12004,NA,0.819,NA,NA,NA,NA,NA
46065,6.75307,7.76441,7.84817,NA,0.802,NA,NA,NA,NA,NA
46375,7.91638,8.11064,7.72087,NA,0.957,NA,NA,NA,NA,NA
46431,8.77085,7.43958,8.04703,NA,NA,0.776,NA,NA,NA,NA
46651,7.76986,7.64694,6.66788,NA,NA,0.779,NA,NA,NA,NA
46878,8.05102,7.30108,7.50222,NA,0.924,NA,NA,NA,NA,NA
47177,8.00075,7.95236,7.74061,NA,NA,0.964,NA,NA,NA,NA
47247,7.74893,8.43971,7.71682,NA,NA,0.874,NA,NA,NA,NA
47550,7.28097,8.21375,8.03173,NA,NA,0.882,NA,NA,NA,NA
47678,7.68581,7.25716,7.68804,NA,NA,0.955,NA,NA,NA,NA
47956,7.96673,7.9981,8.37081,NA,NA,NA,0.829,NA,NA,NA
48010,8.34719,7.74711,7.86852,NA,NA,0.876,NA,NA,NA,NA
48292,7.51233,6.92658,8.04821,NA,NA,0.839,NA,NA,NA,NA
48537,7.8027,7.89505,7.11809,NA,NA,0.915,NA,NA,NA,NA
48755,7.93476,7.57201,7.20988,NA,0.925,NA,NA,NA,NA,NA
48981,7.53579,7.41779,7.59155,0.827,NA,NA,NA,NA,NA,NA
49052,8.72361,7.74207,7.46353,NA,NA,0.818,NA,NA,NA,NA
49392,8.44857,7.8301,8.16366,NA,0.816,NA,NA,NA,NA,NA
49540,8.27915,7.32666,8.39871,NA,0.805,NA,NA,NA,NA,NA
49621,8.13487,8.46167,8.02532,NA,NA,0.831,NA,NA,NA,NA
49972,8.68617,7.81065,6.69755,NA,NA,0.602,NA,NA,NA,NA
50063,7.48301,7.42901,7.02288,NA,NA,0.872,NA,NA,NA,NA
50278,7.95224,7.68255,7.67703,NA,NA,NA,0.929,NA,NA,NA
50408,7.98122,8.10766,7.77215,NA,NA,NA,0.875,NA,NA,NA
50787,8.03774,7.08202,7.75927,NA,0.847,NA,NA,NA,NA,NA
50927,8.43432,7.96458,8.22082,NA,NA,NA,0.773,NA,NA,NA
51116,8.03988,8.03106,7.17836,NA,NA,NA,0.805,NA,NA,NA
51271,7.8574,8.21941,7.43645,NA,NA,0.929,NA,NA,NA,NA
51481,8.5384,8.05143,7.16537,NA,NA,0.788,NA,NA,NA,NA
51712,7.95707,7.55595,7.54843,NA,NA,0.977,NA,NA,NA,NA
51865,8.02936,7.88296,7.50879,NA,0.959,NA,NA,NA,NA,NA
52087,7.37322,7.3321,7.64176,NA,NA,NA,0.894,NA,NA,NA
52236,8.43809,7.574,7.52826,NA,NA,0.893,NA,NA,NA,NA
52577,7.2633,6.93471,7.60455,NA,NA,0.814,NA,NA,NA,NA
52786,7.16398,8.05774,7.67127,NA,0.872,NA,NA,NA,NA,NA
52888,8.78471,7.71701,7.9908,NA,0.767,NA,NA,NA,NA,NA
53078,8.16479,8.09845,7.84044,NA,0.887,NA,NA,NA,NA,NA
53253,6.90791,8.40803,7.57476,NA,NA,0.757,NA,NA,NA,NA
53541,7.58566,7.66034,7.41648,NA,NA,0.947,NA,NA,NA,NA
53618,8.0655,7.98052,8.17883,NA,NA,NA,0.802,NA,NA,NA
53883,7.87655,7.89786,8.12435,NA,NA,NA,NA,NA,0.729,NA
54082,8.31863,8.33302,7.89742,NA,NA,0.846,NA,NA,NA,NA
54357,7.00649,8.3627,7.33768,NA,0.784,NA,NA,NA,NA,NA
54523,8.1523,8.65535,7.48486,0.669,NA,NA,NA,NA,NA,NA
54626,7.95352,7.04037,7.81585,NA,NA,0.889,NA,NA,NA,NA
54950,7.87338,8.28818,7.15073,NA,0.845,NA,NA,NA,NA,NA
55176,7.45435,7.64161,8.23337,NA,0.927,NA,NA,NA,NA,NA
55371,7.11217,8.34219,8.04133,NA,NA,0.827,NA,NA,NA,NA
55419,7.35726,7.96507,7.36005,NA,NA,0.9,NA,NA,NA,NA
55615,7.95476,7.70172,8.29783,NA,0.89,NA,NA,NA,NA,NA
55842,7.7039,8.02497,8.04358,0.884,NA,NA,NA,NA,NA,NA
56120,8.0663,8.03999,8.14757,NA,0.89,NA,NA,NA,NA,NA
56209,7.13794,7.37434,7.18555,0.757,NA,NA,NA,NA,NA,NA
56513,7.10515,8.33343,8.00996,NA,NA,NA,0.785,NA,NA,NA
56777,7.67582,7.16099,8.5504,NA,0.778,NA,NA,NA,NA,NA
56841,8.46821,7.94906,8.15814,NA,0.842,NA,NA,NA,NA,NA
57018,8.10549,8.37713,8.56321,0.692,NA,NA,NA,NA,NA,NA
57296,8.2475,7.67248,8.28317,0.823,NA,NA,NA,NA,NA,NA
57476,7.71265,8.68658,8.02782,NA,NA,0.812,NA,NA,NA,NA
57653,7.45478,8.43205,8.03062,NA,0.87,NA,NA,NA,NA,NA
57897,8.03742,7.89133,8.29875,NA,0.859,NA,NA,NA,NA,NA
58025,7.73319,8.74832,8.23487,NA,0.751,NA,NA,NA,NA,NA
58311,6.99689,7.60537,6.88855,NA,NA,0.747,NA,NA,NA,NA
58408,6.77069,7.4034,7.7931,NA,0.741,NA,NA,NA,NA,NA
58661,8.65494,7.28787,7.57348,NA,0.76,NA,NA,NA,NA,NA
58936,7.87863,8.47614,7.42155,NA,NA,0.857,NA,NA,NA,NA
59128,8.02263,8.54026,7.92119,NA,0.843,NA,NA,NA,NA,NA
59231,6.97352,7.17712,7.52393,NA,0.777,NA,NA,NA,NA,NA
59402,7.99283,7.40091,8.26918,NA,NA,0.875,NA,NA,NA,NA
59629,7.56009,8.03817,8.11419,NA,NA,NA,0.881,NA,NA,NA
59837,7.82296,7.36572,8.55003,NA,0.842,NA,NA,NA,NA,NA
60066,7.80562,8.14263,7.78693,NA,0.954,NA,NA,NA,NA,NA
60329,7.79086,7.29416,7.59268,NA,NA,NA,0.913,NA,NA,NA
60540,7.83091,7.69976,7.43306,NA,NA,NA,0.816,NA,NA,NA
60708,7.32108,8.52028,7.92696,NA,0.838,NA,NA,NA,NA,NA
60984,7.59025,7.87661,8.07924,0.81,NA,NA,NA,NA,NA,NA
61085,7.22108,7.35754,8.31027,NA,NA,NA,0.696,NA,NA,NA
61218,7.95656,7.45534,7.44576,NA,NA,NA,0.854,NA,NA,NA
61516,7.65944,7.54256,7.95327,NA,NA,NA,0.905,NA,NA,NA
61614,8.43542,7.70303,7.80353,NA,NA,0.9,NA,NA,NA,NA
61912,8.06701,8.26313,7.96857,NA,NA,0.902,NA,NA,NA,NA
62112,7.16509,8.10337,6.68956,NA,NA,0.691,NA,NA,NA,NA
62270,7.11465,8.29533,7.78111,NA,NA,0.851,NA,NA,NA,NA
62413,8.25728,7.58426,8.668,NA,NA,0.777,NA,NA,NA,NA
62790,7.58841,7.54969,7.9435,NA,NA,0.977,NA,NA,NA,NA
62991,7.70192,6.97442,7.73269,NA,0.884,NA,NA,NA,NA,NA
63189,7.99583,7.76623,7.83361,NA,NA,0.966,NA,NA,NA,NA
63301,6.88696,8.39705,7.76919,NA,0.761,NA,NA,NA,NA,NA
63548,7.79036,7.50035,7.56762,0.909,NA,NA,NA,NA,NA,NA
63696,7.96953,8.47149,8.17173,NA,NA,0.84,NA,NA,NA,NA
63928,7.35728,7.37692,8.0603,NA,0.891,NA,NA,NA,NA,NA
64152,7.81087,7.52107,7.97884,NA,NA,0.954,NA,NA,NA,NA
64202,8.5148,8.09747,7.20286,NA,0.8,NA,NA,NA,NA,NA
64449,8.59733,6.72134,7.44746,NA,NA,0.618,NA,NA,NA,NA
64621,8.48606,7.70099,7.36097,NA,0.846,NA,NA,NA,NA,NA
64857,7.88473,7.76992,7.67284,0.876,NA,NA,NA,NA,NA,NA
65081,7.51612,7.98045,7.67848,NA,NA,NA,0.916,NA,NA,NA
65249,7.9207,7.80682,8.72302,NA,0.766,NA,NA,NA,NA,NA
